entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,reference_model,reference_mean_r,be_mean_r,be_minus_unmanaged_mean_r,reference_win_rate,be_win_rate,reference_drawdown_r,be_drawdown_r,reference_zero_r_outcomes,be_zero_r_outcomes,eligible_identity_set_equal
MOMENTUM_AWAY_025,USD030_TARGET_2R_BE1R,NATURAL,0.02,stop_first,USD030_TARGET_2R,-0.11149015050907481186365648517042939353696325807879592740150509074811863656485450,-0.12480195883134130146082337317397078353253652058432934926958831341301460823373444,-0.01331180832226648959716688800354138999557326250553342186808322266489597166887994,0.32005312084993359893758300132802124833997343957503320053120849933598937583001328,0.24352589641434262948207171314741035856573705179282868525896414342629482071713147,683.35000000000000000000000000000000000000000000000000000000000000000000000001675,763.67366666666666666666666666666666666666666666666666666666666666666666666668278,0,0,True
MOMENTUM_AWAY_025,USD030_TARGET_2R_BE1R,NATURAL,0.02,target_first,USD030_TARGET_2R,-0.073143536963258078795927401505090748118636564851704293935369632580787959274017042,-0.079151228419654714475431606905710491367861885790172642762284196547144754316071305,-0.006007691456396635679504205400619743249225320938468348826914563966356795042054263,0.33283532536520584329349269588313413014608233731739707835325365205843293492695883,0.26095617529880478087649402390438247011952191235059760956175298804780876494023904,452.35000000000000000000000000000000000000000000000000000000000000000000000001188,499.89033333333333333333333333333333333333333333333333333333333333333333333334485,0,0,True
MOMENTUM_AWAY_025,USD040_TARGET_2R_BE1R,NATURAL,0,stop_first,USD040_TARGET_2R,-0.039321298140770252324037184594953519256308100929614873837981407702523240371845950,-0.039362051792828685258964143426294820717131474103585657370517928286852589641434263,-0.000040753652058432934926958831341301460823373173970783532536520584329349269588313,0.32420318725099601593625498007968127490039840637450199203187250996015936254980080,0.24236387782204515272244355909694555112881806108897742363877822045152722443559097,443.0275000000,369.8400000000,1,1342,True
MOMENTUM_AWAY_025,USD040_TARGET_2R_BE1R,NATURAL,0,target_first,USD040_TARGET_2R,-0.032847194555112881806108897742363877822045152722443559096945551128818061088977424,-0.023923804780876494023904382470119521912350597609561752988047808764940239043824701,0.008923389774236387782204515272244355909694555112881806108897742363877822045152723,0.32636122177954847277556440903054448871181938911022576361221779548472775564409031,0.24916998671978751660026560424966799468791500664010624169986719787516600265604250,441.0275000000,359.8400000000,1,1312,True
MOMENTUM_AWAY_025,USD040_TARGET_2R_BE1R,NATURAL,0.01,stop_first,USD040_TARGET_2R,-0.064321298140770252324037184594953519256308100929614873837981407702523240371845950,-0.064362051792828685258964143426294820717131474103585657370517928286852589641434263,-0.000040753652058432934926958831341301460823373173970783532536520584329349269588313,0.32403718459495351925630810092961487383798140770252324037184594953519256308100930,0.24219787516600265604249667994687915006640106241699867197875166002656042496679947,500.0525000000,445.7920000000,1,1,True
MOMENTUM_AWAY_025,USD040_TARGET_2R_BE1R,NATURAL,0.01,target_first,USD040_TARGET_2R,-0.057847194555112881806108897742363877822045152722443559096945551128818061088977424,-0.048923804780876494023904382470119521912350597609561752988047808764940239043824701,0.008923389774236387782204515272244355909694555112881806108897742363877822045152723,0.32619521912350597609561752988047808764940239043824701195219123505976095617529880,0.24900398406374501992031872509960159362549800796812749003984063745019920318725100,488.5525000000,398.7920000000,1,1,True
MOMENTUM_AWAY_025,USD040_TARGET_2R_BE1R,NATURAL,0.02,stop_first,USD040_TARGET_2R,-0.089321298140770252324037184594953519256308100929614873837981407702523240371845950,-0.089362051792828685258964143426294820717131474103585657370517928286852589641434263,-0.000040753652058432934926958831341301460823373173970783532536520584329349269588313,0.32370517928286852589641434262948207171314741035856573705179282868525896414342629,0.24219787516600265604249667994687915006640106241699867197875166002656042496679947,566.4715000000,566.1420000000,1,0,True
MOMENTUM_AWAY_025,USD040_TARGET_2R_BE1R,NATURAL,0.02,target_first,USD040_TARGET_2R,-0.082847194555112881806108897742363877822045152722443559096945551128818061088977424,-0.073923804780876494023904382470119521912350597609561752988047808764940239043824701,0.008923389774236387782204515272244355909694555112881806108897742363877822045152723,0.32586321381142098273572377158034528552456839309428950863213811420982735723771580,0.24900398406374501992031872509960159362549800796812749003984063745019920318725100,542.0775000000,502.6920000000,1,0,True
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,NATURAL,0,stop_first,ATR050_TARGET_2R,-0.022649156806639127589340225196513374562518876011707858165323689146950849610615539,-0.016829633353597424931471455135256778103822540625798878267318321269090892254077109,0.005819523453041702657868770061256596458696335385908979898005367877859957356538430,0.32606060606060606060606060606060606060606060606060606060606060606060606060606061,0.24436363636363636363636363636363636363636363636363636363636363636363636363636364,237.34570673138947972005067929964714543110379083525265218415057608460690002108265,191.29053961454364100429296181099603241664058105633920290616568017631614183814162,0,1015,True
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,NATURAL,0,target_first,ATR050_TARGET_2R,-0.015376429533911854862067497923786101835246148738980585438050961874223576883342813,-0.0090720575960216673557138793776810205280649648682231206915607455115151346783195314,0.0063043719378901875063536185461050813071811838707574647464902163627084422050232816,0.32848484848484848484848484848484848484848484848484848484848484848484848484848485,0.24751515151515151515151515151515151515151515151515151515151515151515151515151515,237.34570673138947972005067929964714543110379083525265218415057608460690002108265,189.29053961454364100429296181099603241664058105633920290616568017631614183814162,0,1008,True
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,NATURAL,0.01,stop_first,ATR050_TARGET_2R,-0.048427210721192951494711210303490579530722670245271677223693582946803891053693452,-0.042607687268151248836842440242233983072026334859362697325688215068943933697155004,0.005819523453041702657868770061256596458696335385908979898005367877859957356538448,0.32606060606060606060606060606060606060606060606060606060606060606060606060606061,0.24436363636363636363636363636363636363636363636363636363636363636363636363636364,266.58571151540864543952815033068568206322171283933356564030881484463006665255018,224.12046922757847612211941014576268504555201626593828677289323770799496586045309,0,0,True
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,NATURAL,0.01,target_first,ATR050_TARGET_2R,-0.041154483448465678767438483030763306803449942972544404496420855674076618326420725,-0.034850111510575491261084864484658225496268759101786939749930639311368176121397423,0.006304371937890187506353618546105081307181183870757464746490216362708442205023302,0.32848484848484848484848484848484848484848484848484848484848484848484848484848485,0.24751515151515151515151515151515151515151515151515151515151515151515151515151515,265.14598867361135148637196551866767573164054613182034709656414133171535253965721,219.12046922757847612211941014576268504555201626593828677289323770799496586045307,0,0,True
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,NATURAL,0.02,stop_first,ATR050_TARGET_2R,-0.074205264635746775400082195410467784498926464478835496282063476746656932496771382,-0.068385741182705072742213425349211188040230129092926516384058108868796975140232924,0.005819523453041702657868770061256596458696335385908979898005367877859957356538458,0.32606060606060606060606060606060606060606060606060606060606060606060606060606061,0.24436363636363636363636363636363636363636363636363636363636363636363636363636364,320.60855844243800885117543626397098715737982089007750107006725319059219088217239,286.04750870961269847322092460880931959371423222436154313640061638914533939470625,0,0,True
MOMENTUM_AWAY_025,ATR050_TARGET_2R_BE1R,NATURAL,0.02,target_first,ATR050_TARGET_2R,-0.066932537363019502672809468137740511771653737206108223554790749473929659769498669,-0.060628165425129315166455849591635430464472553335350758808300533111221217564475353,0.006304371937890187506353618546105081307181183870757464746490216362708442205023316,0.32848484848484848484848484848484848484848484848484848484848484848484848484848485,0.24751515151515151515151515151515151515151515151515151515151515151515151515151515,293.42911916377322543654130124788320960560207764408309138730460515762048282777177,263.74899843280333095640625264943133220040218813174485453388657901563153716862751,0,0,True
