entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,month,partial_month,eligible_entries,executable_outcomes,unavailable_outcomes,atr_unavailable,path_unavailable,entry_unavailable,invalid_risk,ambiguous_outcomes,eligible_sessions,contributing_sessions,calendar_sessions,zero_outcome_sessions,wins,losses,zero_r_outcomes,win_rate,average_win_r,average_loss_r,mean_r,median_r,profit_factor,profit_factor_status,sum_positive_r,sum_negative_r,event_order_max_drawdown_r,longest_losing_streak,positive_months,negative_months,zero_months,empty_months,worst_month,worst_month_mean_r,lomo_minimum_mean_r,numeric_status,average_win_status,average_loss_status
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-02,False,697,697,0,0,0,0,0,65,19,19,19,0,372,325,0,0.53371592539454806312769010043041606886657101865136298421807747489239598278335725,1.0000000000,-1.0000000000,0.067431850789096126255380200860832137733142037302725968436154949784791965566714491,1.00000000000,1.1446153846153846153846153846153846153846153846153846153846153846153846153846154,AVAILABLE,372.0000000000,-325.0000000000,28.0000000000,16,1,0,0,0,2026-02,0.067431850789096126255380200860832137733142037302725968436154949784791965566714491,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-03,False,417,417,0,0,0,0,0,39,22,22,22,0,235,182,0,0.56354916067146282973621103117505995203836930455635491606714628297362110311750600,1.0000000000,-0.99483516483516483516483516483516483516483516483516483516483516483516483516483516,0.12935251798561151079136690647482014388489208633093525179856115107913669064748201,1.00000000000,1.2979122942670937810670495968187341212857616259803380094996133878272395890864907,AVAILABLE,235.0000000000,-181.0600000000,23.0000000000,11,1,0,0,0,2026-03,0.12935251798561151079136690647482014388489208633093525179856115107913669064748201,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-04,False,337,337,0,0,0,0,0,6,21,21,21,0,177,160,0,0.52522255192878338278931750741839762611275964391691394658753709198813056379821958,1.0000000000,-1.0000000000,0.050445103857566765578635014836795252225519287833827893175074183976261127596439169,1.00000000000,1.10625,AVAILABLE,177.0000000000,-160.0000000000,23.0000000000,10,1,0,0,0,2026-04,0.050445103857566765578635014836795252225519287833827893175074183976261127596439169,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-05,False,143,143,0,0,0,0,0,8,18,18,20,2,79,64,0,0.55244755244755244755244755244755244755244755244755244755244755244755244755244755,1.0000000000,-1.0000000000,0.10489510489510489510489510489510489510489510489510489510489510489510489510489510,1.00000000000,1.234375,AVAILABLE,79.0000000000,-64.0000000000,12.0000000000,7,1,0,0,0,2026-05,0.10489510489510489510489510489510489510489510489510489510489510489510489510489510,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-06,False,346,346,0,0,0,0,0,34,21,21,21,0,205,141,0,0.59248554913294797687861271676300578034682080924855491329479768786127167630057803,1.0000000000,-1.0000000000,0.18497109826589595375722543352601156069364161849710982658959537572254335260115607,1.00000000000,1.4539007092198581560283687943262411347517730496453900709219858156028368794326241,AVAILABLE,205.0000000000,-141.0000000000,11.0000000000,7,1,0,0,0,2026-06,0.18497109826589595375722543352601156069364161849710982658959537572254335260115607,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-07,False,679,679,0,0,0,0,0,44,22,22,22,0,365,314,0,0.53755522827687776141384388807069219440353460972017673048600883652430044182621502,1.0000000000,-1.0000000000,0.075110456553755522827687776141384388807069219440353460972017673048600883652430044,1.00000000000,1.1624203821656050955414012738853503184713375796178343949044585987261146496815287,AVAILABLE,365.0000000000,-314.0000000000,23.0000000000,15,1,0,0,0,2026-07,0.075110456553755522827687776141384388807069219440353460972017673048600883652430044,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-08,False,220,220,0,0,0,0,0,1,20,20,21,1,102,118,0,0.46363636363636363636363636363636363636363636363636363636363636363636363636363636,1.0000000000,-1.0000000000,-0.072727272727272727272727272727272727272727272727272727272727272727272727272727273,-1.00000000000,0.86440677966101694915254237288135593220338983050847457627118644067796610169491525,AVAILABLE,102.0000000000,-118.0000000000,18.0000000000,8,0,1,0,0,2026-08,-0.072727272727272727272727272727272727272727272727272727272727272727272727272727273,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0,target_first,2026-09,True,59,59,0,0,0,0,0,0,4,4,4,0,30,29,0,0.50847457627118644067796610169491525423728813559322033898305084745762711864406780,1.0000000000,-1.0000000000,0.016949152542372881355932203389830508474576271186440677966101694915254237288135593,1.00000000000,1.0344827586206896551724137931034482758620689655172413793103448275862068965517241,AVAILABLE,30.0000000000,-29.0000000000,9.0000000000,9,1,0,0,0,2026-09,0.016949152542372881355932203389830508474576271186440677966101694915254237288135593,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-01,False,413,413,0,0,0,0,0,9,20,20,20,0,212,201,0,0.51331719128329297820823244552058111380145278450363196125907990314769975786924939,0.9600000000,-1.0400000000,-0.013365617433414043583535108958837772397094430992736077481840193704600484261501211,0.96000000000,0.97359357060849598163030998851894374282433983926521239954075774971297359357060850,AVAILABLE,203.5200000000,-209.0400000000,27.4400000000,10,0,1,0,0,2026-01,-0.013365617433414043583535108958837772397094430992736077481840193704600484261501211,,AVAILABLE,AVAILABLE,AVAILABLE
IMMEDIATE_CLOSE_BACK_1M,USD025_TARGET_1R,NATURAL,0.01,stop_first,2026-02,False,697,697,0,0,0,0,0,65,19,19,19,0,307,390,0,0.44045911047345767575322812051649928263988522238163558106169296987087517934002869,0.9600000000,-1.0400000000,-0.15908177905308464849354375896700143472022955523672883787661406025824964131994261,-1.04000000000,0.72662721893491124260355029585798816568047337278106508875739644970414201183431953,AVAILABLE,294.7200000000,-405.6000000000,116.2400000000,16,0,1,0,0,2026-02,-0.15908177905308464849354375896700143472022955523672883787661406025824964131994261,,AVAILABLE,AVAILABLE,AVAILABLE
