entry_variant,model,population,cost_per_share_roundtrip,ambiguity_sensitivity,atr_reference_model,comparison,paired_mean_r_difference,left_eligible_entries,right_eligible_entries,left_missing_partner,right_missing_partner,common_eligible_identities,common_usable_identities,common_unavailable_attrition,left_common_atr_unavailable,right_common_atr_unavailable,common_contributing_sessions,bootstrap_draws,bootstrap_seed,bootstrap_valid_draws,bootstrap_null_draws,mean_r_ci_low,mean_r_ci_high,bootstrap_probability_mean_above_zero,bootstrap_status,bootstrap_unit
MOMENTUM_AWAY_025,USD030_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,0.0071147725082718583705337601569700499127798441169446418466299583537146082873070669,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.045529523370644121069114327941507625373306932464560238185408683174282654233660494,0.059696095603068178939442772341058859629767770825439668907638455393287446988241689,0.6071,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.028925355395356135905913436554234563300834543467673357276818329664614168451433185,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.081170971607159295567042874457093545139250153713618113221514425565673834668639625,0.023929632244588972204639301059718992957444856647203200807003375544691585937477531,0.1446,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.00044050691050765105742858806938607845234969498282487242833348117976568360294831309,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.052894660978765233253732086148132770362000170472163611137736252238373059265615373,0.052118479766301595046752904743675333806675914887557437371531746997367975063613730,0.4946,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.036480634814135645333875784780590691665964082567442871551781769198094460341688652,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.088822545318124498606473899412053049975194386714140407319138193677086226231600889,0.016408024127473055785689475712592058774826052199723793943649607544179495769732786,0.088,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD030_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.0079957863292871604853909362957422068174792340825943867032969207132459754932037884,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.060508647338628864203842538137695122792387221667379109534507177127331060340856540,0.044430785533261269545818439092367674320896919764595725089837017305912069611919938,0.3858,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.010420176986677636578961189337979445036715105378004853102864991141234886662187882,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.053598371748534995814903607019878324407351674717863119173014041290201547792764268,0.032123298573748235044294711598133148779787513182280655440886082680997775521804178,0.3186,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,0.0010949745284738785725539621771720701148000461371466620486501603739166284893272691,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.043025551816032444457286869941100499258584457489121900156732526698920926962044853,0.043066510664907517235146782572973517778658376284738308388470562836813881318090989,0.5252,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.0096421230721238126735902042310022400685113111444410340444950973413818452191099576,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.053081685342288800040815982610401271531844769272322019818460672582711387323592867,0.033131284801530140566825055754582130941370699835076913495817503179409392643107597,0.3334,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.01,target_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,0.0018730284430277024779249472841492750830038403707104811070200541737696699324051942,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.042265892889174225079338205519937008047918411177454421218260922834604852899651004,0.043991371774088019948588182322024613418999130835858819271903274610328288402269725,0.5397,AVAILABLE,WHOLE_SESSION
MOMENTUM_AWAY_025,USD040_TARGET_1.5R,COMMON_AVAILABLE_ATR_IDENTITIES,0.02,stop_first,ATR050_TARGET_1.5R,FIXED_MINUS_ATR,-0.0088640691575699887682192191240250351003075169108772149861252035415288037760320395,4125,4125,0,0,4125,4125,0,0,0,164,10000,20260908,10000,0,-0.052429968414813425095215218841218052552703739160747868612462694871562638705814482,0.034123325853929700452237271212052403079778854070107028251775166202239473302752260,0.3489,AVAILABLE,WHOLE_SESSION
