family,distance,horizon,draws,seed,contributing_sessions,resampling_sessions,undefined_draws,REJECTION_FIRST_lower_pct,REJECTION_FIRST_upper_pct,CONTINUATION_FIRST_lower_pct,CONTINUATION_FIRST_upper_pct,AMBIGUOUS_lower_pct,AMBIGUOUS_upper_pct,UNRESOLVED_lower_pct,UNRESOLVED_upper_pct,CENSORED_lower_pct,CENSORED_upper_pct
PDL,0.25,15,2000,20260907,66,170,0,17.889908256880733944954128440366972477064220183486,31.775700934579439252336448598130841121495327102804,8.7209302325581395348837209302325581395348837209302,18.025751072961373390557939914163090128755364806867,53.636363636363636363636363636363636363636363636364,69.565217391304347826086956521739130434782608695652,0,1.6042780748663101604278074866310160427807486631016,0,0
PDL,0.25,30,2000,20260907,66,170,0,18.045112781954887218045112781954887218045112781955,32.710280373831775700934579439252336448598130841121,8.7209302325581395348837209302325581395348837209302,18.025751072961373390557939914163090128755364806867,53.636363636363636363636363636363636363636363636364,69.565217391304347826086956521739130434782608695652,0,0,0,0
PDL,0.50,5,2000,20260907,66,170,0,16.822429906542056074766355140186915887850467289720,26.146788990825688073394495412844036697247706422018,19.111111111111111111111111111111111111111111111111,30.837004405286343612334801762114537444933920704846,22.110552763819095477386934673366834170854271356784,35.576923076923076923076923076923076923076923076923,17.582417582417582417582417582417582417582417582418,32.684824902723735408560311284046692607003891050584,0,0
PDL,0.50,15,2000,20260907,66,170,0,25.906735751295336787564766839378238341968911917098,39.545454545454545454545454545454545454545454545455,24.691358024691358024691358024691358024691358024691,36.931818181818181818181818181818181818181818181818,22.110552763819095477386934673366834170854271356784,35.576923076923076923076923076923076923076923076923,3.4146341463414634146341463414634146341463414634146,11.210762331838565022421524663677130044843049327354,0,1.5957446808510638297872340425531914893617021276596
PDL,0.50,30,2000,20260907,66,170,0,28.877005347593582887700534759358288770053475935829,41.340782122905027932960893854748603351955307262570,27.314814814814814814814814814814814814814814814815,40.0,22.110552763819095477386934673366834170854271356784,35.576923076923076923076923076923076923076923076923,0,4.3956043956043956043956043956043956043956043956044,0,1.5957446808510638297872340425531914893617021276596
PDL,1.00,5,2000,20260907,66,170,0,6.5989847715736040609137055837563451776649746192893,15.420560747663551401869158878504672897196261682243,6.0344827586206896551724137931034482758620689655172,14.163090128755364806866952789699570815450643776824,3.2388663967611336032388663967611336032388663967611,10.267857142857142857142857142857142857142857142857,64.953271028037383177570093457943925233644859813084,79.792746113989637305699481865284974093264248704663,0,0
PDL,1.00,15,2000,20260907,66,170,0,18.181818181818181818181818181818181818181818181818,30.319148936170212765957446808510638297872340425532,18.450184501845018450184501845018450184501845018450,30.088495575221238938053097345132743362831858407080,3.2388663967611336032388663967611336032388663967611,10.267857142857142857142857142857142857142857142857,32.926829268292682926829268292682926829268292682927,50.214592274678111587982832618025751072961373390558,1.500,6.2801932367149758454106280193236714975845410628019
PDL,1.00,30,2000,20260907,66,170,0,26.178010471204188481675392670157068062827225130890,40.650406504065040650406504065040650406504065040650,28.968253968253968253968253968253968253968253968254,43.589743589743589743589743589743589743589743589744,3.2388663967611336032388663967611336032388663967611,10.267857142857142857142857142857142857142857142857,10.655737704918032786885245901639344262295081967213,29.901960784313725490196078431372549019607843137255,1.500,6.2801932367149758454106280193236714975845410628019
PMH,0.25,5,2000,20260907,2,170,262,0,50.0,0,0,50.0,100,0,0,0,0
PMH,0.25,15,2000,20260907,2,170,262,0,50.0,0,0,50.0,100,0,0,0,0
PMH,0.25,30,2000,20260907,2,170,262,0,50.0,0,0,50.0,100,0,0,0,0
PMH,0.50,5,2000,20260907,2,170,262,0,100,0,100,0,0,0,0,0,0
PMH,0.50,15,2000,20260907,2,170,262,0,100,0,100,0,0,0,0,0,0
PMH,0.50,30,2000,20260907,2,170,262,0,100,0,100,0,0,0,0,0,0
PMH,1.00,5,2000,20260907,2,170,262,0,50.0,0,0,0,0,50.0,100,0,0
PMH,1.00,15,2000,20260907,2,170,262,0,100,0,0,0,0,0,100,0,0
PMH,1.00,30,2000,20260907,2,170,262,100,100,0,0,0,0,0,0,0,0
PML,0.25,5,2000,20260907,2,170,278,16.666666666666666666666666666666666666666666666667,50.0,0,16.666666666666666666666666666666666666666666666667,50.0,66.666666666666666666666666666666666666666666666667,0,0,0,0
PML,0.25,15,2000,20260907,2,170,278,16.666666666666666666666666666666666666666666666667,50.0,0,16.666666666666666666666666666666666666666666666667,50.0,66.666666666666666666666666666666666666666666666667,0,0,0,0
PML,0.25,30,2000,20260907,2,170,278,16.666666666666666666666666666666666666666666666667,50.0,0,16.666666666666666666666666666666666666666666666667,50.0,66.666666666666666666666666666666666666666666666667,0,0,0,0
PML,0.50,5,2000,20260907,2,170,278,0,0,0,16.666666666666666666666666666666666666666666666667,33.333333333333333333333333333333333333333333333333,100,0,50.0,0,0
PML,0.50,15,2000,20260907,2,170,278,0,16.666666666666666666666666666666666666666666666667,0,33.333333333333333333333333333333333333333333333333,33.333333333333333333333333333333333333333333333333,100,0,16.666666666666666666666666666666666666666666666667,0,0
PML,0.50,30,2000,20260907,2,170,278,0,33.333333333333333333333333333333333333333333333333,0,33.333333333333333333333333333333333333333333333333,33.333333333333333333333333333333333333333333333333,100,0,0,0,0
PML,1.00,5,2000,20260907,2,170,278,16.666666666666666666666666666666666666666666666667,50.0,0,0,0,50.0,0,83.333333333333333333333333333333333333333333333333,0,0
PML,1.00,15,2000,20260907,2,170,278,16.666666666666666666666666666666666666666666666667,50.0,0,16.666666666666666666666666666666666666666666666667,0,50.0,0,66.666666666666666666666666666666666666666666666667,0,0
