family,time_of_day,distance,horizon,contributing_sessions,episodes,REJECTION_FIRST_n,CONTINUATION_FIRST_n,AMBIGUOUS_n,UNRESOLVED_n,CENSORED_n,REJECTION_FIRST_pct,CONTINUATION_FIRST_pct,AMBIGUOUS_pct,UNRESOLVED_pct,CENSORED_pct,horizon_censored_flag_n,median_mfe_lower_bound,median_mae_lower_bound,median_mfe_envelope_upper,median_mae_envelope_upper,reclaim_n,reclaim_pct_of_rejection_first,quick_reclaim_n,later_reclaim_n,median_time_to_reclaim_seconds
PDH,12:00-14:00,1.00,30,27,46,12,9,2,23,0,26.09,19.57,4.35,50.00,0.00,0,0.482500000000,0.456250000000,0.574950000000,0.456250000000,1,8.33,0,1,360
PDH,14:00-15:00,0.25,5,20,21,1,3,11,6,0,4.76,14.29,52.38,28.57,0.00,0,0.180000000000,0.180000000000,0.330000000000,0.210000000000,0,0.00,0,0,
PDH,14:00-15:00,0.25,15,20,21,4,6,11,0,0,19.05,28.57,52.38,0.00,0.00,0,0.300000000000,0.370000000000,0.390000000000,0.370000000000,0,0.00,0,0,
PDH,14:00-15:00,0.25,30,20,21,4,6,11,0,0,19.05,28.57,52.38,0.00,0.00,0,0.520000000000,0.540000000000,0.555000000000,0.540000000000,0,0.00,0,0,
PDH,14:00-15:00,0.50,5,20,21,3,3,4,11,0,14.29,14.29,19.05,52.38,0.00,0,0.180000000000,0.180000000000,0.330000000000,0.210000000000,0,0.00,0,0,
PDH,14:00-15:00,0.50,15,20,21,4,6,4,7,0,19.05,28.57,19.05,33.33,0.00,0,0.300000000000,0.370000000000,0.390000000000,0.370000000000,0,0.00,0,0,
PDH,14:00-15:00,0.50,30,20,21,8,7,4,2,0,38.10,33.33,19.05,9.52,0.00,0,0.520000000000,0.540000000000,0.555000000000,0.540000000000,2,25.00,0,2,630
PDH,14:00-15:00,1.00,5,20,21,0,0,3,18,0,0.00,0.00,14.29,85.71,0.00,0,0.180000000000,0.180000000000,0.330000000000,0.210000000000,0,,0,0,
PDH,14:00-15:00,1.00,15,20,21,0,3,3,15,0,0.00,14.29,14.29,71.43,0.00,0,0.300000000000,0.370000000000,0.390000000000,0.370000000000,0,,0,0,
PDH,14:00-15:00,1.00,30,20,21,3,3,3,12,0,14.29,14.29,14.29,57.14,0.00,0,0.520000000000,0.540000000000,0.555000000000,0.540000000000,0,0.00,0,0,
PDH,15:00-close,0.25,5,20,27,5,1,14,6,1,18.52,3.70,51.85,22.22,3.70,2,0.220000000000,0.210000000000,0.330000000000,0.210000000000,1,20.00,1,0,60
PDH,15:00-close,0.25,15,20,27,6,4,14,2,1,22.22,14.81,51.85,7.41,3.70,9,0.250000000000,0.350000000000,0.375000000000,0.350000000000,2,33.33,2,0,120
PDH,15:00-close,0.25,30,20,27,7,4,14,1,1,25.93,14.81,51.85,3.70,3.70,14,0.370000000000,0.450000000000,0.415000000000,0.450000000000,3,42.86,3,0,180
PDH,15:00-close,0.50,5,20,27,2,3,5,15,2,7.41,11.11,18.52,55.56,7.41,2,0.220000000000,0.210000000000,0.330000000000,0.210000000000,0,0.00,0,0,
PDH,15:00-close,0.50,15,20,27,4,8,5,6,4,14.81,29.63,18.52,22.22,14.81,9,0.250000000000,0.350000000000,0.375000000000,0.350000000000,0,0.00,0,0,
PDH,15:00-close,0.50,30,20,27,6,9,5,3,4,22.22,33.33,18.52,11.11,14.81,14,0.370000000000,0.450000000000,0.415000000000,0.450000000000,2,33.33,1,1,360
PDH,15:00-close,1.00,5,20,27,1,2,2,20,2,3.70,7.41,7.41,74.07,7.41,2,0.220000000000,0.210000000000,0.330000000000,0.210000000000,0,0.00,0,0,
PDH,15:00-close,1.00,15,20,27,1,4,2,12,8,3.70,14.81,7.41,44.44,29.63,9,0.250000000000,0.350000000000,0.375000000000,0.350000000000,0,0.00,0,0,
PDH,15:00-close,1.00,30,20,27,3,6,2,7,9,11.11,22.22,7.41,25.93,33.33,14,0.370000000000,0.450000000000,0.415000000000,0.450000000000,0,0.00,0,0,
PDL,09:30-10:00,0.25,5,28,28,5,0,23,0,0,17.86,0.00,82.14,0.00,0.00,0,0.554950000000,0.385000000000,0.775000000000,0.395000000000,1,20.00,1,0,60
PDL,09:30-10:00,0.25,15,28,28,5,0,23,0,0,17.86,0.00,82.14,0.00,0.00,0,1.302500000000,0.486200000000,1.345000000000,0.486200000000,2,40.00,1,1,360
PDL,09:30-10:00,0.25,30,28,28,5,0,23,0,0,17.86,0.00,82.14,0.00,0.00,0,1.767500000000,0.990000000000,1.767500000000,0.990000000000,4,80.00,1,3,840
PDL,09:30-10:00,0.50,5,28,28,9,4,13,2,0,32.14,14.29,46.43,7.14,0.00,0,0.554950000000,0.385000000000,0.775000000000,0.395000000000,2,22.22,2,0,120
PDL,09:30-10:00,0.50,15,28,28,10,4,13,1,0,35.71,14.29,46.43,3.57,0.00,0,1.302500000000,0.486200000000,1.345000000000,0.486200000000,2,20.00,2,0,120
PDL,09:30-10:00,0.50,30,28,28,11,4,13,0,0,39.29,14.29,46.43,0.00,0.00,0,1.767500000000,0.990000000000,1.767500000000,0.990000000000,7,63.64,3,4,600
PDL,09:30-10:00,1.00,5,28,28,7,5,3,13,0,25.00,17.86,10.71,46.43,0.00,0,0.554950000000,0.385000000000,0.775000000000,0.395000000000,1,14.29,1,0,180
PDL,09:30-10:00,1.00,15,28,28,12,10,3,3,0,42.86,35.71,10.71,10.71,0.00,0,1.302500000000,0.486200000000,1.345000000000,0.486200000000,2,16.67,2,0,120
PDL,09:30-10:00,1.00,30,28,28,12,11,3,2,0,42.86,39.29,10.71,7.14,0.00,0,1.767500000000,0.990000000000,1.767500000000,0.990000000000,6,50.00,2,4,510
PDL,10:00-11:00,0.25,5,27,32,6,1,25,0,0,18.75,3.12,78.12,0.00,0.00,0,0.365050000000,0.655000000000,0.590000000000,0.655000000000,2,33.33,2,0,60
PDL,10:00-11:00,0.25,15,27,32,6,1,25,0,0,18.75,3.12,78.12,0.00,0.00,0,0.539550000000,0.995000000000,0.730000000000,0.995000000000,5,83.33,3,2,300
PDL,10:00-11:00,0.25,30,27,32,6,1,25,0,0,18.75,3.12,78.12,0.00,0.00,0,0.840000000000,1.145000000000,0.940000000000,1.145000000000,5,83.33,3,2,300
PDL,10:00-11:00,0.50,5,27,32,5,8,16,3,0,15.62,25.00,50.00,9.38,0.00,0,0.365050000000,0.655000000000,0.590000000000,0.655000000000,1,20.00,1,0,180
PDL,10:00-11:00,0.50,15,27,32,7,8,16,1,0,21.88,25.00,50.00,3.12,0.00,0,0.539550000000,0.995000000000,0.730000000000,0.995000000000,4,57.14,2,2,300
PDL,10:00-11:00,0.50,30,27,32,7,8,16,1,0,21.88,25.00,50.00,3.12,0.00,0,0.840000000000,1.145000000000,0.940000000000,1.145000000000,6,85.71,2,4,480
PDL,10:00-11:00,1.00,5,27,32,5,5,4,18,0,15.62,15.62,12.50,56.25,0.00,0,0.365050000000,0.655000000000,0.590000000000,0.655000000000,1,20.00,1,0,120
PDL,10:00-11:00,1.00,15,27,32,8,13,4,7,0,25.00,40.62,12.50,21.88,0.00,0,0.539550000000,0.995000000000,0.730000000000,0.995000000000,3,37.50,3,0,180
PDL,10:00-11:00,1.00,30,27,32,10,13,4,5,0,31.25,40.62,12.50,15.62,0.00,0,0.840000000000,1.145000000000,0.940000000000,1.145000000000,5,50.00,3,2,180
PDL,11:00-12:00,0.25,5,23,28,8,4,16,0,0,28.57,14.29,57.14,0.00,0.00,0,0.600050000000,0.210000000000,0.640000000000,0.235000000000,3,37.50,3,0,60
PDL,11:00-12:00,0.25,15,23,28,8,4,16,0,0,28.57,14.29,57.14,0.00,0.00,0,0.702500000000,0.375000000000,0.797500000000,0.410000000000,6,75.00,4,2,180
PDL,11:00-12:00,0.25,30,23,28,8,4,16,0,0,28.57,14.29,57.14,0.00,0.00,0,1.015000000000,0.665050000000,1.015000000000,0.665050000000,6,75.00,4,2,180
PDL,11:00-12:00,0.50,5,23,28,12,5,5,6,0,42.86,17.86,17.86,21.43,0.00,0,0.600050000000,0.210000000000,0.640000000000,0.235000000000,0,0.00,0,0,
PDL,11:00-12:00,0.50,15,23,28,14,8,5,1,0,50.00,28.57,17.86,3.57,0.00,0,0.702500000000,0.375000000000,0.797500000000,0.410000000000,5,35.71,3,2,300
PDL,11:00-12:00,0.50,30,23,28,14,9,5,0,0,50.00,32.14,17.86,0.00,0.00,0,1.015000000000,0.665050000000,1.015000000000,0.665050000000,6,42.86,3,3,480
PDL,11:00-12:00,1.00,5,23,28,5,1,0,22,0,17.86,3.57,0.00,78.57,0.00,0,0.600050000000,0.210000000000,0.640000000000,0.235000000000,0,0.00,0,0,
PDL,11:00-12:00,1.00,15,23,28,11,3,0,14,0,39.29,10.71,0.00,50.00,0.00,0,0.702500000000,0.375000000000,0.797500000000,0.410000000000,2,18.18,0,2,510
PDL,11:00-12:00,1.00,30,23,28,13,9,0,6,0,46.43,32.14,0.00,21.43,0.00,0,1.015000000000,0.665050000000,1.015000000000,0.665050000000,2,15.38,0,2,510
